GEOID	NAME	variable	estimate	moe	zip_code	year	popup
10169	ZCTA5 10169	B01003_001	0	12	10169	2018	"ZIP 10169
Est: 0"
10170	ZCTA5 10170	B01003_001	0	12	10170	2018	"ZIP 10170
Est: 0"
10171	ZCTA5 10171	B01003_001	0	12	10171	2018	"ZIP 10171
Est: 0"
10172	ZCTA5 10172	B01003_001	0	12	10172	2018	"ZIP 10172
Est: 0"
10173	ZCTA5 10173	B01003_001	0	12	10173	2018	"ZIP 10173
Est: 0"
10174	ZCTA5 10174	B01003_001	0	12	10174	2018	"ZIP 10174
Est: 0"
10177	ZCTA5 10177	B01003_001	0	12	10177	2018	"ZIP 10177
Est: 0"
10199	ZCTA5 10199	B01003_001	148	139	10199	2018	"ZIP 10199
Est: 148"
10271	ZCTA5 10271	B01003_001	0	12	10271	2018	"ZIP 10271
Est: 0"
10278	ZCTA5 10278	B01003_001	0	12	10278	2018	"ZIP 10278
Est: 0"
10279	ZCTA5 10279	B01003_001	43	70	10279	2018	"ZIP 10279
Est: 43"
10280	ZCTA5 10280	B01003_001	9384	795	10280	2018	"ZIP 10280
Est: 9384"
10282	ZCTA5 10282	B01003_001	5593	597	10282	2018	"ZIP 10282
Est: 5593"
